질문ID,질문,사용자증상,연령대,의사진단,진단근거,해결책
76,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,50대 이상,우울증의 초기 증상으로 의심됨,우울증 환자에게 자주 보이는 증상입니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
77,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,20대,경미한 우울증으로 볼 수 있음,인지 기능 저하가 우울증과 연관됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
78,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,20대,경미한 우울증으로 볼 수 있음,인지 기능 저하가 우울증과 연관됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
79,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,10대,우울증 가능성이 높음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
80,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,50대 이상,중등도 우울증 증상일 수 있음,우울증 환자에게 자주 보이는 증상입니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
81,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,50대 이상,중등도 우울증 증상일 수 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
82,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,50대 이상,우울증 가능성이 높음,우울증의 주요 진단 기준에 해당됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
83,'식욕이 감소하여 먹는 것이 귀찮음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,식욕이 감소하여 먹는 것이 귀찮음,20대,우울증 가능성이 높음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
84,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,30대,경미한 우울증으로 볼 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
85,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,40대,우울증 가능성이 높음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
86,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,30대,우울증 가능성이 높음,우울증과 관련된 신체 증상이 나타나고 있습니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
87,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,50대 이상,경미한 우울증으로 볼 수 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
88,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,50대 이상,우울증 가능성이 높음,우울증과 관련된 신체 증상이 나타나고 있습니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
89,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,30대,불안과 우울증 증상 동반 가능성 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
90,'예전보다 감정 기복이 심해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,예전보다 감정 기복이 심해짐,30대,불안과 우울증 증상 동반 가능성 있음,인지 기능 저하가 우울증과 연관됩니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
91,'자주 무기력감과 무동기 상태를 느낌'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자주 무기력감과 무동기 상태를 느낌,20대,불안과 우울증 증상 동반 가능성 있음,우울증의 주요 진단 기준에 해당됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
92,'식욕이 감소하여 먹는 것이 귀찮음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,식욕이 감소하여 먹는 것이 귀찮음,10대,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
93,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,40대,우울증의 초기 증상으로 의심됨,우울증과 관련된 신체 증상이 나타나고 있습니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
94,'사람들과 어울리기 싫고 혼자 있는 시간이 많아짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들과 어울리기 싫고 혼자 있는 시간이 많아짐,30대,중등도 우울증 증상일 수 있음,인지 기능 저하가 우울증과 연관됩니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
95,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,50대 이상,우울증의 초기 증상으로 의심됨,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
96,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,20대,중등도 우울증 증상일 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
97,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,40대,중등도 우울증 증상일 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
98,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,50대 이상,불안과 우울증 증상 동반 가능성 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
99,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,20대,경미한 우울증으로 볼 수 있음,우울증의 주요 진단 기준에 해당됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
100,'예전보다 감정 기복이 심해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,예전보다 감정 기복이 심해짐,10대,우울증 가능성이 높음,인지 기능 저하가 우울증과 연관됩니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
1,'불면과 낮 동안의 피로 지속'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면과 낮 동안의 피로 지속,10대,수면 장애의 주요 증상에 해당됨,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
2,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,30대,경미한 수면 장애로 볼 수 있음,불면증의 주요 진단 기준에 해당됩니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
3,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,20대,수면 장애의 주요 증상에 해당됨,수면 패턴의 불규칙함이 불면증과 관련됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
4,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,30대,경미한 수면 장애로 볼 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,잠자기 전에 전자기기 사용을 줄이세요.
5,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,40대,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
6,'불면과 낮 동안의 피로 지속'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면과 낮 동안의 피로 지속,40대,수면 장애의 주요 증상에 해당됨,수면의 질 저하와 관련된 일반적인 증상입니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
7,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,40대,기면증의 가능성이 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,잠자기 전에 전자기기 사용을 줄이세요.
8,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,10대,수면 장애의 주요 증상에 해당됨,수면의 질 저하와 관련된 일반적인 증상입니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
9,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,40대,경미한 수면 장애로 볼 수 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
10,'수면 패턴이 불규칙해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,수면 패턴이 불규칙해짐,30대,경미한 수면 장애로 볼 수 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
11,'수면 패턴이 불규칙해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,수면 패턴이 불규칙해짐,50대 이상,기면증의 가능성이 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
12,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,30대,기면증의 가능성이 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
13,'밤에 자주 깨서 깊게 못 잠'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 자주 깨서 깊게 못 잠,20대,중등도 불면증일 수 있음,불면증의 주요 진단 기준에 해당됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
14,'악몽을 자주 꾸고 잠을 못 이룸'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,악몽을 자주 꾸고 잠을 못 이룸,40대,기면증의 가능성이 있음,불면증의 주요 진단 기준에 해당됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
15,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,40대,경미한 수면 장애로 볼 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
16,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,30대,중등도 불면증일 수 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
17,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,30대,불면증의 초기 증상 가능성 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
18,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,20대,경미한 수면 장애로 볼 수 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
19,'악몽을 자주 꾸고 잠을 못 이룸'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,악몽을 자주 꾸고 잠을 못 이룸,40대,기면증의 가능성이 있음,불면증의 주요 진단 기준에 해당됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
20,'악몽을 자주 꾸고 잠을 못 이룸'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,악몽을 자주 꾸고 잠을 못 이룸,30대,기면증의 가능성이 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
21,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,30대,경미한 수면 장애로 볼 수 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
22,'밤에 자주 깨서 깊게 못 잠'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 자주 깨서 깊게 못 잠,50대 이상,기면증의 가능성이 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,잠자기 전에 전자기기 사용을 줄이세요.
23,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,30대,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
24,'악몽을 자주 꾸고 잠을 못 이룸'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,악몽을 자주 꾸고 잠을 못 이룸,20대,경미한 수면 장애로 볼 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
25,'불면과 낮 동안의 피로 지속'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면과 낮 동안의 피로 지속,10대,불면증의 초기 증상 가능성 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
26,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,10대,기면증의 가능성이 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
27,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,50대 이상,기면증의 가능성이 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
28,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,50대 이상,경미한 수면 장애로 볼 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,잠자기 전에 전자기기 사용을 줄이세요.
29,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,30대,경미한 수면 장애로 볼 수 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,잠자기 전에 전자기기 사용을 줄이세요.
30,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,30대,경미한 수면 장애로 볼 수 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
31,'수면 패턴이 불규칙해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,수면 패턴이 불규칙해짐,50대 이상,수면 장애의 주요 증상에 해당됨,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
32,'밤에 자주 깨서 깊게 못 잠'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 자주 깨서 깊게 못 잠,30대,경미한 수면 장애로 볼 수 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
33,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,20대,경미한 수면 장애로 볼 수 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
34,'불면과 낮 동안의 피로 지속'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면과 낮 동안의 피로 지속,10대,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
35,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,30대,불면증의 초기 증상 가능성 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
36,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,20대,경미한 수면 장애로 볼 수 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
37,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,50대 이상,기면증의 가능성이 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
38,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,50대 이상,경미한 수면 장애로 볼 수 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
39,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,50대 이상,기면증의 가능성이 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
40,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,20대,경미한 수면 장애로 볼 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,잠자기 전에 전자기기 사용을 줄이세요.
41,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,30대,경미한 수면 장애로 볼 수 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
42,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,20대,경미한 수면 장애로 볼 수 있음,불면증의 주요 진단 기준에 해당됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
43,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,10대,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
44,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,10대,기면증의 가능성이 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
45,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,40대,수면 장애의 주요 증상에 해당됨,수면 패턴의 불규칙함이 불면증과 관련됩니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
46,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,40대,기면증의 가능성이 있음,불면증의 주요 진단 기준에 해당됩니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
47,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,30대,수면 장애의 주요 증상에 해당됨,수면 패턴의 불규칙함이 불면증과 관련됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
48,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,50대 이상,불면증의 초기 증상 가능성 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
49,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,20대,불면증의 초기 증상 가능성 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
50,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,10대,기면증의 가능성이 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
51,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,20대,수면 장애의 주요 증상에 해당됨,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,잠자기 전에 전자기기 사용을 줄이세요.
52,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,50대 이상,경미한 수면 장애로 볼 수 있음,불면증의 주요 진단 기준에 해당됩니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
53,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,50대 이상,기면증의 가능성이 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
54,'악몽을 자주 꾸고 잠을 못 이룸'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,악몽을 자주 꾸고 잠을 못 이룸,10대,기면증의 가능성이 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
55,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,50대 이상,기면증의 가능성이 있음,불면증의 주요 진단 기준에 해당됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
56,'불면과 낮 동안의 피로 지속'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면과 낮 동안의 피로 지속,50대 이상,중등도 불면증일 수 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
57,'수면 패턴이 불규칙해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,수면 패턴이 불규칙해짐,30대,수면 장애의 주요 증상에 해당됨,불면증의 주요 진단 기준에 해당됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
58,'수면 패턴이 불규칙해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,수면 패턴이 불규칙해짐,50대 이상,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
59,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,50대 이상,기면증의 가능성이 있음,불면증의 주요 진단 기준에 해당됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
60,'밤에 자주 깨서 깊게 못 잠'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 자주 깨서 깊게 못 잠,50대 이상,경미한 수면 장애로 볼 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
61,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,50대 이상,경미한 수면 장애로 볼 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
62,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,40대,수면 장애의 주요 증상에 해당됨,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
63,'수면 패턴이 불규칙해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,수면 패턴이 불규칙해짐,30대,중등도 불면증일 수 있음,불면증의 주요 진단 기준에 해당됩니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
